ENC_ID,class,tile_pixel_xc,tile_pixel_yc,bbox_pixel_xc,bbox_pixel_yc,bbox_local_xc,bbox_local_yc,bbox_width,bbox_height,bbox_rotation
583ea31427e47d3fc4294439f0da2657f3ff16e056faab4af8fda44ddc87c19b,Zigzag,24722160,14386853,24722070,14387376,470,1083,41,74,0.012536807945007394
57c1355caa9e2667822e68c0cc89534ba68dfd73844bf7ba8794bea0518347e5,Zigzag,24701654,14211027,24701573,14210527,479,61,42,76,0.6557172651707484
6d5ea300cd3ea1d0308ee8d2d8c2bf1978bd49243006d920aa26952565be6bc0,Zigzag,24812570,14318888,24812499,14319342,488,1014,42,71,1.444443714140523
dd437698c19aac7fd8b4735dd6fd052e685757dc794e1b37e24f3f025ce4ab4a,Zigzag,24803250,14229764,24803100,14229858,411,654,41,86,0.33829013470667363
49d1ac8c59ba3fed5f02892d4689cdf3af8dbe009311688f5703b6ea91153958,Zigzag,24630817,14156731,24630846,14156476,588,305,37,76,0.29590988741018404
60911c1ae641f3db8b1c751c35f8e04cb28a3f31f01ac9b981c7e2b6d45736ed,Zigzag,24968226,14238082,24967708,14238378,43,856,81,60,0.015262262037459267
fcc56d3225503f5363b16c4228d094537046df151ba60a7a9de79dd8098068f1,Zigzag,24871291,14298219,24871411,14297925,681,266,37,76,0.3239328335329747
e4a6c2d5287f5ac13c78a8ba5e1036677736b4b5f93c36b90359ba88cf8b37bd,FCBK,24775288,14376579,24775159,14376359,431,340,30,64,0.936354456361546
9e0749ec52bd64d29cd3232f5e629be7863ed101d98f9548011f34ba9477c27b,Zigzag,24655051,14141022,24655401,14141401,910,939,85,37,0.5068721931608109
aa78978420df9b4236ad4c8d8a911b8245020f9eb00de3e48576cae917bdf5fc,Zigzag,24708179,14217276,24708112,14216796,493,81,75,44,1.076748252968226
1ded58c306effd516d5b6152a27d495041d8874773649e2f1d4ab101c79c10aa,FCBK,24634545,14208943,24635071,14208536,1086,153,39,90,0.0007369901703448357
3e92c1cd8a762eaaa1eeb6bf0d1989955dabd0c5f23f2055b4f4a2eb2c52f91a,Zigzag,24628953,14232884,24628818,14233079,425,755,75,38,0.2061072632148715
16a188d2900959aed276fabd30fb802075250a92bb3538c08d071168118daaad,Zigzag,24695130,14302356,24694724,14301939,154,143,39,86,1.5556089848884471
9b0a960d68b887e85df6b3c773d868856ca6f12e8e64a018d3ee118cb2e53ffe,FCBK,24701654,14362181,24701930,14361919,835,298,33,76,0.05976896648237686
0880e70238173e65e7d56a34b403422b26eae1b6bbd55e0283502dc1df1154da,Zigzag,24666236,14148356,24666226,14148236,550,441,46,90,0.21632719383232105
20fe52098a73b2d9c90eb1c1d8597abc028593f50c8c81aed36baec4b8a32084,Zigzag,24798589,14202690,24798628,14203194,599,1065,40,77,0.19147107914077086
20fe52098a73b2d9c90eb1c1d8597abc028593f50c8c81aed36baec4b8a32084,Zigzag,24798589,14202690,24798100,14203118,71,989,39,85,0.21694666174663027
fb393abf30a6beef25e8e5683d88992e5464bfbee65822f8158e0ab4ab0516a9,Zigzag,24715635,14204774,24715754,14204672,679,458,43,90,0.23475996371168187
1497768024034d1c9abd7e62d6b010ed0490a41ec75c0b5c2c6003d93d2bda03,Zigzag,24846125,14230804,24846269,14231304,704,1061,47,91,0.2591065657524294
1497768024034d1c9abd7e62d6b010ed0490a41ec75c0b5c2c6003d93d2bda03,Zigzag,24846125,14230804,24846320,14231120,755,876,57,107,0.11041534122971455
1497768024034d1c9abd7e62d6b010ed0490a41ec75c0b5c2c6003d93d2bda03,Zigzag,24846125,14230804,24846549,14230307,984,63,47,99,0.07518307655564649
1497768024034d1c9abd7e62d6b010ed0490a41ec75c0b5c2c6003d93d2bda03,Zigzag,24846125,14230804,24846025,14230667,460,423,36,75,0.05873049594362489
e2d7a1362bfc8ef83c8587cf8b06ffb3410f3f1323ae6ef079b3f1f73d76c2ad,Zigzag,24752918,14184954,24752603,14185215,245,821,49,99,0.3180875944144143
697510923313abcf165847a2b8b3f33dfe1591f2176186b182ecbbbeb751aa28,Zigzag,24566505,14343645,24566934,14343875,989,789,37,80,1.5687747212114174
0610d9b03fabfb457789f0bf7272e98f9a8a951f67fc25735557291a9fd2d260,Zigzag,24707247,14187042,24707295,14186575,608,93,89,48,0.27119343887305175
d172a9fb8fcb4aa46cbde71c95310740ed69ca3d37bd2035854267b04a4a4b07,Zigzag,24702586,14273371,24702287,14272874,261,64,37,74,0.00889319681753438
