ENC_ID,class,tile_pixel_xc,tile_pixel_yc,bbox_pixel_xc,bbox_pixel_yc,bbox_local_xc,bbox_local_yc,bbox_width,bbox_height,bbox_rotation
5ac744e327437f848fa199ac657d18a76b67bdc3aa0fdc991261f2625f621c85,Zigzag,23823647,13915596,23823497,13915309,410,274,114,49,0.003815439633391419
35f7f993b23f9d016e5c6c62fbf52f0d50d9f600a38b91b5a6e20b91faea83ed,Zigzag,23913125,14035749,23912900,14036230,335,1041,90,52,0.11556838316907134
b8e2c2b10dc124ddab9d4171efd1e6351bd42900c52d020891b1ba134dd7a7b6,Zigzag,23924310,13896334,23924347,13896601,597,826,99,45,0.004745115360275804
b8e2c2b10dc124ddab9d4171efd1e6351bd42900c52d020891b1ba134dd7a7b6,Zigzag,23924310,13896334,23924286,13896048,536,274,60,113,0.0002259833925439469
0dc45f0d8bf351cbb271ec51a95aa7529de0c7dcfea92b5961017826de350db2,Zigzag,23890756,13911318,23891104,13911571,909,813,123,63,1.506261408837606
4873d559a257921492672924f7b256fe0190e873acbd91a200dd12d01caf4bf0,Zigzag,23931767,13994426,23932150,13994865,943,999,105,54,0.04461982845400251
4873d559a257921492672924f7b256fe0190e873acbd91a200dd12d01caf4bf0,Zigzag,23931767,13994426,23931575,13994796,369,930,55,109,1.552660732403675
b4b44111a905a3d6d7ff456e3259311c2715e8c9bef904ea6796b0b9508d28f3,Zigzag,23914989,13918802,23915421,13918918,992,675,58,112,1.5661184843401725
b9d14fd745075eb579d9c10e21b932357b4d2eb1575d91dbe90ea5dbf75a324b,Zigzag,23930834,13884547,23930503,13884127,229,140,59,134,1.5572850453204887
0d56b954f38cfd75dd92810ba07e25d7973ab6f480320f0312c74e637f088001,Zigzag,23859997,13879185,23860335,13878795,898,170,51,110,1.5669404690106254
e692e51477c1c238f64c99aea3b9fa47c10e1fb637a79a7b48ba3210b7c806fc,Zigzag,23935495,13995488,23935712,13995202,778,274,114,53,0.046716031676328304
e692e51477c1c238f64c99aea3b9fa47c10e1fb637a79a7b48ba3210b7c806fc,Zigzag,23935495,13995488,23935228,13994949,294,21,89,38,0.0008791298266511038
86fb09dfbc553f5babf701763116aeed4ba9c66ae76b92d47e6a7a5bbee70133,Zigzag,23878639,13981681,23878825,13981285,746,164,100,52,0.09660397975710346
ae9aee0c94bd1c0af15328fc944697c9ca4148679d176c3a26650ab0f45923c2,Zigzag,23954136,13898476,23954449,13897963,873,47,85,69,1.5691215979434003
44e078eedccad4c472b1af3c90b0b3215b9321a517523e300cc9e644e9312b5e,Zigzag,23907533,14037864,23907657,14037898,684,595,50,121,1.5702607650996816
84af44da76f4aeab2d716109f7187c7e6618dc94b91bb74eb29f9006a4ede026,Zigzag,23974642,14071650,23974867,14071184,785,94,88,52,0.14925746250473618
30c77b5ad47460babf0a04f3b51f9867f059c1bbec8716a102dad160a9053b8d,FCBK,23763062,13897405,23763192,13897030,690,184,118,50,1.562254637072631
