ENC_ID,class,tile_pixel_xc,tile_pixel_yc,bbox_pixel_xc,bbox_pixel_yc,bbox_local_xc,bbox_local_yc,bbox_width,bbox_height,bbox_rotation
16aaabfd1db2006986a68be93767df6a46437c7fa2e9d62fe1cbf652c8deb581,Zigzag,23848813,13758359,23848942,13758570,690,771,123,57,0.012851764194612094
16aaabfd1db2006986a68be93767df6a46437c7fa2e9d62fe1cbf652c8deb581,Zigzag,23848813,13758359,23849359,13758613,1106,813,66,132,0.19971564330916775
8b408608c7c8e18f31c059c78ae6983bfb2330d9aeb467e87fd3e17467f37189,FCBK,23807802,13708329,23807683,13708840,441,1071,92,45,0.04895785571482179
9edb9c5e549a43856fd4ec29ff5cc6ce665b9aaebb59011107ea52557c80930f,Zigzag,23760266,13733375,23760285,13733305,578,490,55,100,0.00227188134840585
9edb9c5e549a43856fd4ec29ff5cc6ce665b9aaebb59011107ea52557c80930f,Zigzag,23760266,13733375,23760606,13733778,900,963,58,97,0.0034188699799434005
07e85a1354fe3b2f7969c7736fbed2dac77bf055f40ffa6bb36b9eb1d503904a,Zigzag,23849745,13731199,23849445,13730775,260,136,37,83,1.5675572571190877
e245c60bfae68c12739d743bb66c355c3f6ad2ea883b1bb478c74e6fb2ce6e09,Zigzag,23789160,13638314,23788859,13637976,259,221,91,54,1.5676318256296098
fb504ed33422728cc1b1e3ac7c75535d66b8531feaa5c82d15e3bb8c6a7a256a,Zigzag,23762130,13781120,23762319,13781651,749,1091,108,50,0.014995743070477687
4f5f58d62e08476f470e748cd086b907c6e3b20617df7f839469f3cc8c9bb5e4,Zigzag,23753742,13816786,23753343,13817006,161,779,105,58,0.001973599244012894
2ead8cd186134d81eeca05d719336477d2928a3a2020903d6dc3bd91cda465b4,Zigzag,23840424,13846955,23840127,13846988,263,593,55,108,0.0011695650335226146
ad31664c36d35460d3ccfddfba5f4bc34b7b7fcb272c37177e59b5bc2093872a,Zigzag,23880503,13727935,23880227,13727383,284,8,18,47,1.5444135882979722
66ab63f2a01e9b5005afa2f166013a3fd4317356a8b1c5bf1ece71f938dca7d2,Zigzag,23909397,13798428,23909279,13798447,442,579,62,112,0.8800646185601134
f422026e450f5c8e50207f659d0ac45ae87901c8595bf70b1a72e9739982e485,Zigzag,23744421,13685408,23744752,13685692,891,843,53,92,0.6259238828447866
fb9bdf33b423a397734d059999a80d7c474f0ed0dc9cee4444d60bf8cc6761ca,Zigzag,23834832,13770288,23834823,13770012,551,285,112,57,1.4576649773722214
ddb9fe456b0fb8804cf9c723f63d380340afc04605241c1e2feb30dd670d4d41,Zigzag,23774247,13796266,23774539,13796620,851,915,53,108,0.3894181671042874
5da077d63dd50dd75184b4904d22c3cbe51c5632847f1d208e47fa0fd53b57b1,Zigzag,23743489,13667910,23743667,13667884,738,533,58,108,0.052624783025697904
d72fc1203b85bc8d19cf8782c3cb5509016fa5d9a5cbdadbd33775d2b44a2d40,FCBK,23903805,13748590,23903752,13748662,508,632,53,113,1.56958072691533
d72fc1203b85bc8d19cf8782c3cb5509016fa5d9a5cbdadbd33775d2b44a2d40,FCBK,23903805,13748590,23904128,13748079,883,49,101,53,1.4170376559947357
62a03f40040d314c6bb35d34f3b76205de4950dc332b351f26014d6c9c83cc0f,Zigzag,23755606,13799508,23755724,13799120,678,171,48,100,0.07632888496989626
ca3ce8d4c16e22e7199b216ffe99932e7762fcafa1c9307496bda3abe647542f,FCBK,23734168,13824337,23734569,13824414,961,637,48,114,0.18619182833287953
235116f6fc29bf2453a5e23bf80f6a4308fa66a48a31d0c3365f19f452f8d631,Zigzag,23739761,13663531,23740062,13663425,862,454,52,96,1.5669408684847888
e6358b0c330f62e19af46fd86b8815748c7e0d89246fc20035f425c680c9fdac,Zigzag,23770519,13734462,23770923,13734718,964,816,105,55,0.003791002789721015
dadd167cc1e9e3c978bb3df65d6c4dc1c5b59499b5c56a88420ca2895d32a6d5,Zigzag,23871182,13757274,23870908,13757489,286,774,53,92,0.003923979052271659
0567f7018677a8ca7645362c1e70ce74e367cfb92b55f9b664af488514005dee,Zigzag,23838560,13755104,23838036,13755092,37,548,95,72,0.3056298927567553
441a213f692e4216e7a8949b030a961e3fb75b9435f2da533576c3025171ee5e,Zigzag,23755606,13649286,23755254,13648744,208,18,44,41,0.09013932265850423
b23dda9425edc312f84568dcf1e6798eb8ff2a6cdffbaf20e2b47220eb75374f,Zigzag,23824579,13600921,23824193,13601232,174,870,56,94,0.012485366283779532
db5e6634d64667d58ac0ea404ba4acbe5c42808b614872bae4a3eeeb97e6fd5d,Zigzag,23844152,13721404,23844153,13721770,561,926,86,41,1.5676656477754538
212c83a9487df08ced1e403efaf74324cf1500fc9d41624a42812e890adb6d20,Zigzag,23894484,13812470,23894369,13812171,445,261,45,101,1.5672544557031456
