ENC_ID,class,tile_pixel_xc,tile_pixel_yc,bbox_pixel_xc,bbox_pixel_yc,bbox_local_xc,bbox_local_yc,bbox_width,bbox_height,bbox_rotation
bd095abe649e81fc07ca24190ffb8eaa680f6da4957ec6cdbe6850489e4747ff,FCBK,24318575,14086400,24318416,14086476,401,636,96,43,0.6396701217063668
bd095abe649e81fc07ca24190ffb8eaa680f6da4957ec6cdbe6850489e4747ff,FCBK,24318575,14086400,24318138,14086818,123,977,89,44,0.5608177834127013
cc8e290b2a40a3afa2918aae16478586b2ee2a564f78547c6f3228cda50302aa,Zigzag,24591670,14207901,24591438,14207700,328,359,41,97,0.31248460308651027
cc8e290b2a40a3afa2918aae16478586b2ee2a564f78547c6f3228cda50302aa,Zigzag,24591670,14207901,24591858,14207561,747,220,47,96,0.09403420407512353
8591e936f4b1b6e4d25f8f61fedd6e8a753a67c1af143ba59f10824ac4109e80,Zigzag,24493803,14252625,24494086,14252470,842,405,42,88,0.4127059795194036
a4dfdf55700cd5ed218b5366f5d80dc0b556faba76cc546893889c07ad3997de,FCBK,23970913,13872747,23970462,13872830,109,643,46,113,0.8000530062439364
f0052fbac03942ce47e6b3b373dc8beb744e001b97b4f70fe52669ca6d59537d,FCBK,24406189,14289942,24406063,14289569,434,187,39,90,0.14663912574475432
d3e53589d58f628917baf89d193f1f03febadb95292b923b50aeb97d673add14,FCBK,24387548,14270261,24387236,14270745,249,1043,87,41,0.41822048732008976
4bea87356835f1547a4597ced05324c13d68c36bd6b1ee092b3089bcf1781339,Zigzag,24063188,13883475,24063560,13883817,932,903,49,102,0.4441929658510875
4bea87356835f1547a4597ced05324c13d68c36bd6b1ee092b3089bcf1781339,Zigzag,24063188,13883475,24063304,13883950,675,1035,99,50,0.6431091282010134
e0375379889679d008ef7a3fa608c03b902dcbb3e217adc436c3f77b8744f8c4,Zigzag,24250534,14152544,24250075,14152891,101,907,97,53,0.44518219703799744
7a7109ca8de6bec11f3e1be8363466579947c51c054f4a89c8edc592c147fe90,Zigzag,24580486,14180777,24580859,14180986,933,769,88,43,0.5232394485882199
5a1b31771618d4e1963f7e36a9e5d3cbdbbd61595e9f1154fdc9b80cdc9f188e,FCBK,24247737,14125292,24248181,14124946,1004,213,123,51,0.5203018154582943
f1512c1b64da1f04a35fd140de7b4aa0a5b9b8a076004f43a7c48c6c26f2c316,Zigzag,24303662,14061103,24303524,14061504,422,961,89,50,0.733055596384704
01cb5702a3d5bbbbb13ee2b97dea201b7158ccb4f5472f82003953c30719cb4b,FCBK,24441608,14327146,24441759,14327087,711,501,104,44,0.3783424796048114
f8ea40a3f0940e0a9e24f40d7b8fc146a0f7ad4209a895f3d092a9b82ce32a7a,Zigzag,24468637,14201647,24468300,14201908,222,820,46,86,0.48599154547599016
f8ea40a3f0940e0a9e24f40d7b8fc146a0f7ad4209a895f3d092a9b82ce32a7a,FCBK,24468637,14201647,24468659,14201411,581,323,106,48,0.49209208187454834
f8ea40a3f0940e0a9e24f40d7b8fc146a0f7ad4209a895f3d092a9b82ce32a7a,Zigzag,24468637,14201647,24468583,14201204,505,117,40,86,0.49089053016973183
27f349d79aa3ac0f9648f464d398870be60fa008d1d5a9c7ffb9ba2b0ba67820,Zigzag,23979302,13961471,23979181,13961929,439,1018,116,61,0.4681549907856708
