ENC_ID,class,tile_pixel_xc,tile_pixel_yc,bbox_pixel_xc,bbox_pixel_yc,bbox_local_xc,bbox_local_yc,bbox_width,bbox_height,bbox_rotation
88ee186998e042ce86bab2878777fdf089c17c8240d6683dc6f2a8cd5af6f031,Zigzag,25030674,14649186,25031092,14649205,978,579,46,90,0.3339442219923142
d52e46c574a840bb811d677e973f65b7b0a2817bed1e2964112a4d1beda9d2a8,Zigzag,24952381,14499332,24952888,14499107,1067,335,65,36,0.1367473298631162
2cc67e00584c3b8dd35f93ddd2f30322edd80f387e74761941f7e70631b6dfd4,Zigzag,24970090,14517646,24970554,14517642,1024,555,66,33,0.18155651323181254
fed3bb40e8dc41388b7a81d7b90657a2e61e9b5d55ea70a705a503c88091e1e3,Zigzag,25068889,14620960,25069407,14621256,1078,856,48,95,1.2398303844286451
42a959c17380a1e489101c134fc990ab73d5a0fec41f0521176d0136d0210bd3,Zigzag,25031606,14611875,25031506,14611572,459,257,38,74,1.5697944455928088
8372efe20c7c694bf2a7d2f26d30d2fe758ad34993c73e3780dc20c3b72ae5c2,Zigzag,24991527,14363210,24991977,14363199,1010,548,72,39,0.47619237766601635
91b0d8648b124c5df295ec37d43ad04833a1b167d8ad3e1b0b65aec5ef89631a,Zigzag,25035335,14659253,25035163,14659587,389,894,41,87,0.30748894564519874
91b0d8648b124c5df295ec37d43ad04833a1b167d8ad3e1b0b65aec5ef89631a,Zigzag,25035335,14659253,25035175,14659209,400,516,68,32,1.5515974653384608
7231e1fb233dad761904da6431c04e095033a12b99f177ffd638c6abf0530d56,FCBK,24903913,14495259,24903685,14495424,332,725,38,87,0.3457973860825253
0a48f5109c9f5c6701f8c8084ee23f83fa4467d347b3a8d3a1673a1457857ae6,Zigzag,24881543,14647172,24881925,14646714,942,103,35,71,0.1381096532739894
0a05fb712d960a1b9fca4df8c1399c88e4b2eb3482ac8c92b2d5e5c164cda1af,Zigzag,24977546,14251587,24977371,14252012,384,985,39,88,0.4301762164017825
ad587f539ff5dc3a7742ae1a1bbebcc2448caf14e30142a3691a1452259b4b0c,Zigzag,24983139,14644150,24983320,14643713,741,123,45,83,0.8646851295810147
ad587f539ff5dc3a7742ae1a1bbebcc2448caf14e30142a3691a1452259b4b0c,Zigzag,24983139,14644150,24983602,14643791,1024,202,79,45,0.8671520822777825
ad587f539ff5dc3a7742ae1a1bbebcc2448caf14e30142a3691a1452259b4b0c,Zigzag,24983139,14644150,24983100,14643604,521,14,72,46,0.7746146246695539
a1839e91aa76e2677e47071cc8a497b07357aaa7865278b1bff90c2df0602cc9,Zigzag,25045587,14447304,25045123,14447590,96,846,37,78,1.2526741445758247
39262f97d3c9d2c9d1e1e5ad2edd574b2dc306bd9b165708a914e90acf114fd1,FCBK,25033470,14646164,25033577,14645909,666,305,43,89,0.09777135145380446
8e2bcbf9c290066de331dec4c64700db8b7ca71ed138c9a5f205e6f49c98bfdd,Zigzag,25014829,14519680,25014648,14519331,379,211,77,37,1.2774990669931074
e21dae22b099f1a2d0c63de5b6ec094b226f567420e1b9b6fede3190d2a1dbb4,FCBK,25033470,14664283,25033948,14663919,1038,195,37,80,0.08737898115577232
5d5c6f17ecef29c00927fe130bf7c34ba430fa15f3486962805b3ef0ea3650e7,Zigzag,25029742,14502386,25029323,14502326,141,500,34,80,0.1591144375551215
491b8305bdc522e803496238cd230eb3a401b17c724318de939eb30e9b6de21e,Zigzag,25029742,14646164,25029610,14645629,428,25,76,45,0.27567648773879344
0dec766a1a0aa6d2ab22f46872a011d76a5a71d17d0c0b6f43179937e497c36a,Zigzag,24990595,14361152,24990847,14361111,811,519,33,73,0.07596583785666962
0db4598913d1b725a442386ebc1d4e4bac99b31b8f64e973d410834fd359044e,Zigzag,24814435,14565349,24814041,14565173,167,385,30,67,0.1277440810344262
4392f7c41fb8af16255ae19b5dde557f11c95d25c09dbf5a46d24b80c968d860,Zigzag,24992459,14638104,24992799,14638239,899,695,80,43,1.549835651119319
f1c61efe0ebd5fe4bfe95e9900acba93457560d60763181cd03fc20315788e86,Zigzag,24972886,14506457,24972972,14506926,646,1029,71,37,0.22412462989845042
f78c23dfad030acaf85ffc1efb1b6ece119cbaa269989b03ceaa6e784d453356,Zigzag,25028810,14507475,25029325,14507621,1075,707,39,85,0.11214932541546513
5837667967e5bad69035ed8f31ad12380d2dd7cda0d126696f8311e1f34ad1f7,FCBK,24838668,14594699,24838347,14594657,239,518,98,51,0.07218173561901922
a610e4a99eb5a8dd617cd2ffdc86d733337a379cd2aaeab48662ab5110714794,FCBK,24954245,14465690,24954185,14465464,501,333,35,77,1.3355791482583186
0317251ba65651b10871a458c160360a77548ba9d7b2bdc4f39e41234b974089,Zigzag,25028810,14655227,25028817,14655687,567,1020,35,77,0.3409079221896807
ca89de0c49c38bf699cd620705bf35a422e9084ade4f2150ecf974efa3dfd3ae,Zigzag,25030674,14602785,25030320,14602540,206,316,34,68,0.12218791140743707
4a8dbb9fd1fc4a699dec5cfc5c7b5c3eacc4299f70590268041d742547e26be0,Zigzag,25039995,14479973,25039899,14480403,464,990,73,39,0.4193582230272852
aa542b5b2f00a222e1d5c63b640ca9163fe0051541dee925d8b7a78b164c7eaa,Zigzag,25030674,14562309,25031042,14562761,928,1012,65,38,0.7689529439291273
025458de01721d4f07bdc51362e5729458c8b438817da3b1e0511c1fc10c4d29,Zigzag,25005508,14490166,25005830,14489800,882,195,67,34,0.019380586830725414
8ff80e951f8a78bc6fcc16838bccdc8aa2e89c27096767b302995c4f9581cd1f,Zigzag,25023218,14476914,25023046,14476929,389,575,46,76,1.541422325761595
8a4e689eed3324ce8aee029054b496d355aa6a718bf72611c34d648d0e9344ff,Zigzag,24999916,14479973,24999643,14479834,287,421,72,35,0.4041345955509835
5688333c92869aebb8bb0133f43b662141c27b31350f1a608fa7f2f78b792431,Zigzag,25007373,14589643,25007005,14590049,192,966,67,29,0.42458407745532045
221a1670552f0b31352cbd8bf11e4e3d6fd09b9d619719b7d07110d4f586a528,FCBK,24890864,14510527,24891200,14510611,896,644,76,43,0.45424310330428763
a5bf65e96e2f8bc6b31450ff8b57e25fcb40718c6ce65a16395f33f85bda4af9,Zigzag,25003644,14526794,25003615,14526820,531,586,33,70,0.3678700646712655
25aa81155c550ec4f07d78f3d6c03c976839e20308fec94eb2e166cf81763299,Zigzag,24899253,14505440,24899451,14505162,759,282,39,92,1.1800536032329445
25aa81155c550ec4f07d78f3d6c03c976839e20308fec94eb2e166cf81763299,Zigzag,24899253,14505440,24898857,14505090,164,210,86,40,0.4999984412292619
0be2ff3f4f4af66c3f78975dd1c50da410787b0ea21a8e4ae1efabd1305cc319,FCBK,25002712,14488128,25002982,14488223,830,656,35,69,0.07015217384178345
c84749d2dd186c34c0029148abc2443a358ec3325e8a0a3487eabbeda96872b3,Zigzag,25030674,14556227,25030607,14556044,493,376,71,30,0.787977701229299
7ea36650f1cd0afa00368e7ea1f7ed39a3b1d96095222fd6f093382e836021b0,FCBK,24989663,14515613,24989569,14515575,466,522,61,29,1.5659503057173338
